%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:17 - ******** Started Tc001GetAllEmployees ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:79 - ******** Checking content encoding ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:87 - ******** Checking content length ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:63 - ******** Checking Content Type ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:98 - ******** Checking cookies ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:27 - ******** Checking response body ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:43 - ******** Checking Response Time ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:71 - ******** Checking server type ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:35 - ******** Checking response body ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:55 - ******** Checking Status Line ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:105 - ******** Finishing Tc001GetAllEmployees ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:17 - ******** Started Tc001GetAllEmployees ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:79 - ******** Checking content encoding ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:87 - ******** Checking content length ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:63 - ******** Checking Content Type ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:98 - ******** Checking cookies ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:27 - ******** Checking response body ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:43 - ******** Checking Response Time ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:71 - ******** Checking server type ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:35 - ******** Checking response body ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:55 - ******** Checking Status Line ********
%{yyy-MM-dd HH:mm:ss} INFO  EmployeesRestAPI:105 - ******** Finishing Tc001GetAllEmployees ********
2020-02-18 11:11:29 INFO  EmployeesRestAPI:17 - ******** Started Tc001GetAllEmployees ********
2020-02-18 11:11:31 INFO  EmployeesRestAPI:79 - ******** Checking content encoding ********
2020-02-18 11:11:31 INFO  EmployeesRestAPI:87 - ******** Checking content length ********
2020-02-18 11:11:31 INFO  EmployeesRestAPI:63 - ******** Checking Content Type ********
2020-02-18 11:11:31 INFO  EmployeesRestAPI:98 - ******** Checking cookies ********
2020-02-18 11:11:31 INFO  EmployeesRestAPI:27 - ******** Checking response body ********
2020-02-18 11:11:31 INFO  EmployeesRestAPI:43 - ******** Checking Response Time ********
2020-02-18 11:11:31 INFO  EmployeesRestAPI:71 - ******** Checking server type ********
2020-02-18 11:11:31 INFO  EmployeesRestAPI:35 - ******** Checking response body ********
2020-02-18 11:11:31 INFO  EmployeesRestAPI:55 - ******** Checking Status Line ********
2020-02-18 11:11:31 INFO  EmployeesRestAPI:105 - ******** Finishing Tc001GetAllEmployees ********
2020-02-18 11:25:07 INFO  EmployeesRestAPI:17 - ******** Started Tc001GetAllEmployees ********
2020-02-18 11:25:10 INFO  EmployeesRestAPI:79 - ******** Checking content encoding ********
2020-02-18 11:25:10 INFO  EmployeesRestAPI:81 - Content Encoding is =>gzip
2020-02-18 11:25:10 INFO  EmployeesRestAPI:87 - ******** Checking content length ********
2020-02-18 11:25:10 INFO  EmployeesRestAPI:89 - Content Length is =>595
2020-02-18 11:25:10 INFO  EmployeesRestAPI:63 - ******** Checking Content Type ********
2020-02-18 11:25:10 INFO  EmployeesRestAPI:65 - Content Type is =>application/json;charset=utf-8
2020-02-18 11:25:10 INFO  EmployeesRestAPI:98 - ******** Checking cookies ********
2020-02-18 11:25:10 INFO  EmployeesRestAPI:27 - ******** Checking response body ********
